method,problem,popsize,samples,trial,time
ep-lex-s,uball5d,100,5000,4,118.20241713523865
ep-lex-sd,uball5d,100,50,4,62.20712351799011
ep-lex-sd,uball5d,100,100,4,58.30756425857544
ep-lex-sd,uball5d,100,500,4,61.42830276489258
ep-lex-sd,uball5d,100,1000,4,61.95500206947327
ep-lex-sd,uball5d,100,5000,4,127.56521272659302
ep-lex-d,uball5d,100,50,4,65.35706758499146
ep-lex-d,uball5d,100,100,4,67.62687540054321
ep-lex-d,uball5d,100,500,4,67.42256689071655
ep-lex-d,uball5d,100,1000,4,67.95036816596985
ep-lex-d,uball5d,100,5000,4,130.7696533203125
rand,uball5d,100,50,5,50.78633451461792
rand,uball5d,100,100,5,57.69507169723511
rand,uball5d,100,500,5,48.922091484069824
rand,uball5d,100,1000,5,49.69672131538391
rand,uball5d,100,5000,5,58.30239391326904
tourn,uball5d,100,50,5,44.09456515312195
tourn,uball5d,100,100,5,45.604761600494385
tourn,uball5d,100,500,5,45.359434366226196
tourn,uball5d,100,1000,5,51.65433073043823
tourn,uball5d,100,5000,5,101.97011685371399
lex,uball5d,100,50,5,57.73358154296875
lex,uball5d,100,100,5,66.37015557289124
lex,uball5d,100,500,5,64.39008116722107
lex,uball5d,100,1000,5,67.54655742645264
lex,uball5d,100,5000,5,109.1109356880188
dc,uball5d,100,50,5,97.08787178993225
dc,uball5d,100,100,5,99.36384320259094
dc,uball5d,100,500,5,103.56203484535217
dc,uball5d,100,1000,5,96.74763083457947
dc,uball5d,100,5000,5,138.21859049797058
afp,uball5d,100,50,5,91.16722059249878
afp,uball5d,100,100,5,101.06501865386963
afp,uball5d,100,500,5,98.78575873374939
afp,uball5d,100,1000,5,90.892094373703
afp,uball5d,100,5000,5,103.69077563285828
ep-lex-s,uball5d,100,50,5,55.27287983894348
ep-lex-s,uball5d,100,100,5,59.862929582595825
ep-lex-s,uball5d,100,500,5,63.142133951187134
ep-lex-s,uball5d,100,1000,5,60.36055612564087
ep-lex-s,uball5d,100,5000,5,102.9875898361206
ep-lex-sd,uball5d,100,50,5,58.45286464691162
ep-lex-sd,uball5d,100,100,5,60.3562970161438
ep-lex-sd,uball5d,100,500,5,63.34956073760986
ep-lex-sd,uball5d,100,1000,5,66.19663310050964
ep-lex-sd,uball5d,100,5000,5,123.0408353805542
ep-lex-d,uball5d,100,50,5,65.85607385635376
ep-lex-d,uball5d,100,100,5,65.45769381523132
ep-lex-d,uball5d,100,500,5,64.99567008018494
ep-lex-d,uball5d,100,1000,5,65.00679111480713
ep-lex-d,uball5d,100,5000,5,127.52824068069458
rand,uball5d,100,50,6,45.60706853866577
rand,uball5d,100,100,6,49.33151292800903
rand,uball5d,100,500,6,53.34522581100464
rand,uball5d,100,1000,6,40.812323331832886
rand,uball5d,100,5000,6,65.42510652542114
tourn,uball5d,100,50,6,38.22545146942139
tourn,uball5d,100,100,6,31.726866006851196
tourn,uball5d,100,500,6,44.98487997055054
tourn,uball5d,100,1000,6,48.456891775131226
tourn,uball5d,100,5000,6,85.36876440048218
lex,uball5d,100,50,6,60.52215075492859
lex,uball5d,100,100,6,65.37544417381287
lex,uball5d,100,500,6,68.84429669380188
lex,uball5d,100,1000,6,66.26793026924133
lex,uball5d,100,5000,6,117.27211499214172
dc,uball5d,100,50,6,90.3899450302124
dc,uball5d,100,100,6,93.51733231544495
dc,uball5d,100,500,6,94.10161447525024
dc,uball5d,100,1000,6,98.93600559234619
dc,uball5d,100,5000,6,125.3412835597992
afp,uball5d,100,50,6,100.73212432861328
afp,uball5d,100,100,6,90.708261013031
afp,uball5d,100,500,6,99.86322808265686
afp,uball5d,100,1000,6,95.13683271408081
afp,uball5d,100,5000,6,127.13703632354736
ep-lex-s,uball5d,100,50,6,52.08157730102539
ep-lex-s,uball5d,100,100,6,55.92445397377014
ep-lex-s,uball5d,100,500,6,49.078470945358276
ep-lex-s,uball5d,100,1000,6,61.627554416656494
ep-lex-s,uball5d,100,5000,6,109.35490655899048
ep-lex-sd,uball5d,100,50,6,66.2264301776886
ep-lex-sd,uball5d,100,100,6,62.944860219955444
